Estoque;Centro;Área MRP;Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Nec.MAI/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Cons.DEZ/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
;DA04;;10000123;RGT VIDAS B.R.A.H.M.S. BMX;0,000;0,000;0,000;KIT;0,00;0,00;0,000;0,000;ZROH;ZM;022;0,0;999,0;;;13;9;4;C;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;QUS;FORN. QUI - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;0;0;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;30450;
;DA04;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;16,000;16,000;0,000;KIT;761,55;12.184,80;7,680;0,000;ZROH;PD;002;9,0;59,0;0020008122;BIO-RAD LABORATORIOS BRASIL LTDA;15;11;4;A;Z1;1,000;0,000;0,000;1,000;0,000;012;Cobertura 12 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;22,000;15,000;17,000;16,000;17,000;16,000;15,000;@3J@;1017227710;10;;30/01/2020;31/01/2020;2,000;0,000;;1.523,10;46,000;4600003577;20;761,55;1.500,00;;13,000;25,000;44,000;9,000;7,000;12,000;21,000;15,000;12,000;19,000;13,000;7,000;4500309920;12/12/2019;;4,000;4500309920;12/12/2019;;3,000;4500309920;12/12/2019;;5,000;001;;;1;28;@08@;0,000;0;@0A@;15,000;23,0;@08@;0,000;00;LIBERADO;180;
;DA04;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;16,000;16,000;0,000;KIT;761,55;12.184,80;7,680;0,000;ZROH;PD;002;9,0;59,0;0020008122;BIO-RAD LABORATORIOS BRASIL LTDA;15;11;4;A;Z1;1,000;0,000;0,000;1,000;0,000;012;Cobertura 12 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;22,000;15,000;17,000;16,000;17,000;16,000;15,000;@3J@;1017227711;10;;30/01/2020;;6,000;0,000;;4.569,30;46,000;4600003577;20;761,55;1.500,00;;13,000;25,000;44,000;9,000;7,000;12,000;21,000;15,000;12,000;19,000;13,000;7,000;4500309920;12/12/2019;;4,000;4500309920;12/12/2019;;3,000;4500309920;12/12/2019;;5,000;001;;;1;28;@08@;0,000;0;@0A@;15,000;23,0;@08@;0,000;00;LIBERADO;180;
;DA04;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;16,000;16,000;0,000;KIT;761,55;12.184,80;7,680;0,000;ZROH;PD;002;9,0;59,0;0020008122;BIO-RAD LABORATORIOS BRASIL LTDA;15;11;4;A;Z1;1,000;0,000;0,000;1,000;0,000;012;Cobertura 12 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;22,000;15,000;17,000;16,000;17,000;16,000;15,000;@3J@;1017227712;10;;13/02/2020;11/02/2020;1,000;0,000;;761,55;46,000;4600003577;20;761,55;1.500,00;;13,000;25,000;44,000;9,000;7,000;12,000;21,000;15,000;12,000;19,000;13,000;7,000;4500309920;12/12/2019;;4,000;4500309920;12/12/2019;;3,000;4500309920;12/12/2019;;5,000;001;;;1;28;@08@;0,000;0;@0A@;15,000;23,0;@08@;0,000;00;LIBERADO;180;
;DA04;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;16,000;16,000;0,000;KIT;761,55;12.184,80;7,680;0,000;ZROH;PD;002;9,0;59,0;0020008122;BIO-RAD LABORATORIOS BRASIL LTDA;15;11;4;A;Z1;1,000;0,000;0,000;1,000;0,000;012;Cobertura 12 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;22,000;15,000;17,000;16,000;17,000;16,000;15,000;@3J@;1017227713;10;;13/02/2020;;7,000;0,000;;5.330,85;46,000;4600003577;20;761,55;1.500,00;;13,000;25,000;44,000;9,000;7,000;12,000;21,000;15,000;12,000;19,000;13,000;7,000;4500309920;12/12/2019;;4,000;4500309920;12/12/2019;;3,000;4500309920;12/12/2019;;5,000;001;;;1;28;@08@;0,000;0;@0A@;15,000;23,0;@08@;0,000;00;LIBERADO;180;
;D969;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;0,000;0,000;0,000;KIT;761,55;0,00;0,000;0,000;ZROH;VV;005;0,0;18,0;DA04;ARMAZEM-PE;0;0;0;A;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;DIA;DIARIO;DA04;99,0;4,000;3,377;7,387;6,500;8,125;6,500;6,500;@3J@;;0;;;;0,000;0,000;;0,00;38,000;;0;0,00;0,00;;4,000;2,000;24,000;0,000;3,000;0,000;16,000;9,000;6,000;6,000;7,000;3,000;5500001368;17/12/2019;31/12/9999;1,000;5500001368;20/12/2019;31/12/9999;1,000;5500001368;26/12/2019;31/12/9999;1,000;;;;207;240;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;180;
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229931;10;;06/01/2020;18/12/2019;750,000;0,000;;420,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229932;10;;06/01/2020;03/01/2020;250,000;0,000;;140,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229933;10;;06/01/2020;;250,000;0,000;;140,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229934;10;;20/01/2020;;250,000;0,000;;140,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
