Estoque;Centro;Área MRP;Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Nec.MAI/2020;Nec.JUN/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Cons.DEZ/2019;Cons.JAN/2020;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
;D969;;10000109;DISCO CEFOXITINA C/50 30MCG;0,000;0,000;0,000;FR;9,55;0,00;0,548;0,000;ZROH;VV;006;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;5,252;5,252;1,313;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;21,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1618;
;DA04;;10000109;DISCO CEFOXITINA C/50 30MCG;170,000;170,000;0,000;FR;11,76;1.999,62;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;29;327;@0A@;170,000;966;@08@;0,000;0,0;;0,000;00;LIBERADO;1618;
;D969;;10000110;DISCO ERTAPENEM -ERT 10;0,000;0,000;0,000;FR;11,92;0,00;0,528;0,000;ZROH;VV;005;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;3,500;3,500;4,375;3,500;3,500;2,625;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;8,000;0,000;2,000;4,000;6,000;3,000;2,000;6,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1661;
;DA04;;10000110;DISCO ERTAPENEM -ERT 10;12,000;12,000;0,000;FR;12,00;143,96;0,460;0,000;ZROH;PD;001;999,9;999,9;0020009053;ANTONIO CARLOS DE FENDI - EPP;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;3,000;1,000;1,000;0,000;0,000;0,000;0,000;@3J@;1017198666;10;;10/01/2020;;1,000;0,000;;8,32;7,000;4600001884;1140;8,32;300,00;;10,000;24,000;2,000;0,000;0,000;4,000;4,000;6,000;3,000;2,000;6,000;0,000;4500315877;10/01/2020;;1,000;4500315877;10/01/2020;;2,000;;;;0,000;002;;;21;61;@0A@;12,000;966;@0A@;13,000;565,0;@08@;0,000;00;LIBERADO;1661;
;DA04;;10000110;DISCO ERTAPENEM -ERT 10;12,000;12,000;0,000;FR;12,00;143,96;0,460;0,000;ZROH;PD;001;999,9;999,9;0020009053;ANTONIO CARLOS DE FENDI - EPP;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;3,000;1,000;1,000;0,000;0,000;0,000;0,000;@3J@;1017198667;10;;10/01/2020;;2,000;0,000;;16,64;7,000;4600001884;1140;8,32;300,00;;10,000;24,000;2,000;0,000;0,000;4,000;4,000;6,000;3,000;2,000;6,000;0,000;4500315877;10/01/2020;;1,000;4500315877;10/01/2020;;2,000;;;;0,000;002;;;21;61;@0A@;12,000;966;@0A@;13,000;565,0;@08@;0,000;00;LIBERADO;1661;
;D969;;10000113;DISCO GENTAMICINA 10MCG GEN 10 C/50;0,000;0,000;0,000;FR;9,38;0,00;0,340;0,000;ZROH;VV;006;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;3,252;3,252;0,813;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;13,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1633;
;DA04;;10000113;DISCO GENTAMICINA 10MCG GEN 10 C/50;93,000;93,000;0,000;FR;9,11;846,79;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;8,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;323;380;@0A@;93,000;966;@08@;0,000;0,0;;0,000;00;LIBERADO;1633;
;D969;;10000114;DISCO IMIPENEM C/50 10MCG;0,000;0,000;0,000;FR;10,61;0,00;0,720;0,000;ZROH;VV;005;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;4,752;4,752;5,940;4,752;4,752;3,564;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;14,000;0,000;0,000;4,000;6,000;3,000;2,000;11,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1634;
;DA04;;10000114;DISCO IMIPENEM C/50 10MCG;52,000;52,000;0,000;FR;10,33;537,12;0,345;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;0,000;2,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;37,000;2,000;0,000;0,000;2,000;4,000;6,000;3,000;2,000;11,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;11;41;@0A@;22,333;971;@08@;0,000;0,0;;0,000;00;LIBERADO;1634;
;D969;;10000116;DISCO MEROPENEM C/50;0,000;0,000;0,000;FR;9,17;0,00;1,284;0,000;ZROH;VV;005;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;8,500;8,500;10,625;8,500;8,500;6,375;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;3,000;4,000;2,000;17,000;9,000;11,000;13,000;13,000;5,000;10,000;11,000;4,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1638;
;DA04;;10000116;DISCO MEROPENEM C/50;2,000;2,000;0,000;FR;9,07;18,13;0,345;0,000;ZROH;PD;001;4,0;999,0;0020009053;ANTONIO CARLOS DE FENDI - EPP;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;54,000;2,000;0,000;0,000;0,000;0,000;0,000;@3J@;1016837932;10;;10/01/2020;;27,000;0,000;;224,64;0,000;4600001884;1130;8,32;300,00;;16,000;31,000;4,000;1,000;9,000;13,000;13,000;13,000;5,000;10,000;11,000;4,000;4500311192;12/12/2019;;27,000;4500315877;10/01/2020;;27,000;;;;0,000;002;;;1;201;@08@;0,000;0;@0A@;53,000;999,0;@08@;0,000;00;LIBERADO;1638;
;D969;;10000121;DISCO NOVOBIOCINA C/25 DME;0,000;0,000;0,000;FR;10,99;0,00;0,020;0,000;ZROH;VV;005;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;0,252;0,189;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;270;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1702;
;DA04;;10000121;DISCO NOVOBIOCINA C/25 DME;6,000;6,000;0,000;FR;11,60;69,59;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;0;202;@0A@;6,000;971;@08@;0,000;0,0;;0,000;00;LIBERADO;1702;
;D969;;10000122;DISCO OPTOQUINA C/25 5MCG;0,000;0,000;0,000;FR;12,26;0,00;1,208;0,000;ZROH;VV;005;0,0;0,0;;;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;8,000;8,000;10,000;8,000;8,000;6,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;9,000;0,000;0,000;0,000;0,000;0,000;0,000;10,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1703;
;DA04;;10000122;DISCO OPTOQUINA C/25 5MCG;46,000;46,000;0,000;FR;12,54;576,87;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;4,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;11;41;@0A@;46,000;971;@08@;0,000;0,0;;0,000;00;LIBERADO;1703;
;DA04;;10000126;DISCO POLIMIXINA C/50 300MCG;7,000;7,000;0,000;FR;18,71;130,98;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;QUS;FORN. QUI - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;131;131;@0A@;7,000;971;@08@;0,000;0,0;;0,000;00;LIBERADO;1649;
;D969;;10000126;DISCO POLIMIXINA C/50 300MCG;0,000;0,000;0,000;FR;11,47;0,00;0,020;0,000;ZROH;VV;006;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;0,252;0,189;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;270;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1649;
;DA04;;10000127;DISCO TEICOPLAM C/50 30MCG;39,000;39,000;0,000;FR;14,06;548,16;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;195;162;@0A@;39,000;966;@08@;0,000;0,0;;0,000;00;LIBERADO;1654;
;D969;;10000127;DISCO TEICOPLAM C/50 30MCG;0,000;0,000;0,000;FR;9,48;0,00;0,076;0,000;ZROH;VV;005;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;0,500;0,500;0,625;0,125;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;1,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;270;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1654;
;DA04;;10000128;DISCO TOBRAMICINA C/50 10MCG;0,000;0,000;0,000;FR;9,02;0,00;0,000;0,000;ZROH;PD;001;0,0;999,0;0020009053;ANTONIO CARLOS DE FENDI - EPP;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;10,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;300,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4500311192;12/12/2019;;10,000;;;;0,000;;;;0,000;002;;;43;43;@08@;0,000;0;@0A@;10,000;999,0;@08@;0,000;00;LIBERADO;1657;
;D969;;10000128;DISCO TOBRAMICINA C/50 10MCG;0,000;0,000;0,000;FR;9,21;0,00;0,100;0,000;ZROH;VV;006;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;1,252;0,939;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1657;
;D969;;10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;0,000;0,000;0,000;KIT;50,77;0,00;0,304;0,000;ZROH;VV;005;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;2,000;2,000;2,500;1,456;1,456;1,820;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;1,000;0,000;0,000;0,000;3,000;0,000;0,000;2,000;2,000;1,000;1,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;349;369;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;3290379190;
