Centro;Tipo;Site;Localidade;Nome
DA04;Armazém;PE;AV MARECHAL MASCARENHAS DE MOR;ARMAZEM-PE
DA09;Atendimento;PE;RUA JOAQUIM NABUCO 217;GC - IGARASSU
X027;Atendimento;PE;AV MARIA MELO 130, ROD PE35;CE - IGARASSU
X047;Atendimento;PE;R ALTO DA BELA VISTA 10;CE - ABREU E LIMA
X048;Atendimento;PE;AV MARECHAL FLORIANO PEIXOTO 7;CE - PAULISTA 2
DA34;Atendimento;PE;RUA CORDEIRO DE FARIAS 60;GC - GOIANA
DA16;Atendimento;PE;AV MARECHAL FLORIANO PEIXOTO 2;GC - PAULISTA
DA40;Atendimento;PE;RUA CORONEL ANTONIO VICENTE 13;GC - TIMBAUBA
X015;Atendimento;PE;PRAÇA PAPA JOÃO XXII 612, SL04;CE - PAULISTA 1
X035;Atendimento;PE;PRAÇA DANTAS BARRETO 5;CE - JABOATÃO
DA32;Atendimento;PE;RUA VISCONDE DO RIO BRANCO 164;GC - JABOATÃO
X036;Atendimento;PE;AV GOV. AGAMENON MAGALHAES 505;CE - CAVALEIRO
DA43;Atendimento;PE;AV GOV AGAMENON MAGALHÃES 430;GC - CAVALEIRO
X041;Atendimento;PE;AV RECIFE 5630;CE - AV. RECIFE
X017;Atendimento;PE;AV MASCARENHAS DE MORAES 977,;CE - IMBIRIBEIRA
X019;Atendimento;PE;AV ENG. ABDIAS DE CARVALHO 150;CE -ABDIAS
DA47;Atendimento;PE;AV DOIS RIOS 84;GC - IBURA
DA29;Atendimento;PE;RUA JEAN EMILE FAVRE 1178;GC - IPSEP
DA24;Atendimento;PE;AV SÃO PAULO 200;GC - JD. SÃO PAULO
DA53;Atendimento;PE;AV MASCARENHAS DE MORAIS 4223;GC - UPA IMBIRIBEIRA
X026;Atendimento;PE;R SÃO MIGUEL 1619;CE - AFOGADOS
X038;Atendimento;PE;ROD BR 232 KM 06 S/N;CE - CL - PELOPIDAS
X032;Atendimento;PE;R DR. JOSÉ AUGUSTO 641;CE - VITÓRIA STº ANTÃO
DA38;Atendimento;PE;AV HISTORIADOR PEREIRA DA COST;GC - CABO 2
DA44;Atendimento;PE;RUA LETÁCIO MONTENEGRO 255;GC - PALMARES
DA50;Atendimento;PE;RUA JOÃO PESSOA 564;GC - RIBEIRÃO
DA31;Atendimento;PE;PRAÇA GETÚLIO VARGAS 65;GC - IPOJUCA
X057;Atendimento;PE;AV BARRETO DE MENEZES 122, LJ;CE - PRAZERES
DA45;Atendimento;PE;RUA SANTO ELIAS 277;GC - PRAZERES
DA07;Atendimento;PE;RUA DR FERNANDO GONÇALVES CASC;GC - CABO 1
X013;Atendimento;PE;AV HISTORIADOR P. DA COSTA 532;CE - CABO
X034;Atendimento;PE;ROD BR-101 S/N, KM 28;CE - CL - DOM HELDER
DA18;Atendimento;PE;AV ULISSES MONTARROYOS 3499;GC - BARRA DE JANGADA
DA55;Atendimento;PE;RUA PADRE CABRAL 161;GC - SETUBAL
X020;Atendimento;PE;R JOÃO EUGÊNIO DE LIMA 244;CE - SETUBAL
DA12;Atendimento;PE;AV ENGENHEIRO DOMINGOS FERREIR;GC - TOP DIAGNOSTICO - BV
DA22;Atendimento;PE;AV CONSELHEIRO AGUIAR 2696;GC - CONSELHEIRO AGUIAR
DA37;Atendimento;PE;AV BERNARDO VIEIRA DE MELO 213;GC - PIEDADE
X003;Atendimento;PE;R ARTUR MUNIZ 236;CE - BOA VIAGEM 1
X004;Atendimento;PE;R CARLOS PEREIRA FALCÃO 125;CE - BOA VIAGEM 2
X030;Atendimento;PE;R JOÃO ANSBERTO LOPES 68;CE - HOSP. JAIME DA FONTE
X009;Atendimento;PE;R CHIMARRÃO 2035;CE - PIEDADE
X022;Atendimento;PE;AV PRESIDENTE KENNEDY 333;CE - CANDEIAS
X040;Atendimento;PE;AV JOSE MARQUES FONTES S/N;CE - CL - UPA CARUARU
DA42;Atendimento;PE;AV 29 DE DEZEMBRO 875;GC - STª CRUZ
DA49;Atendimento;PE;RUA VEREADOR ELIAS TORRES 39;GC - GRAVATA
X045;Atendimento;PE;R PARANAIBA 95;CE - CARUARU 2
DA13;Atendimento;PE;AV AGAMENON MAGALHÃES 868;GC - CARUARU
DA46;Atendimento;PE;RUA DA MATRIZ 111A;GC - BEZERROS
X044;Atendimento;PE;AV GOVERNADOR AGA. MAGALHAES 6;CE - GRAVATÁ
DA08;Atendimento;PE;PRAÇA DOM LUIS DE BRITO 374;GC - VITORIA
X012;Atendimento;PE;AV GAMENON MAGALHÃES 1150;CE - CARUARU 1
X024;Atendimento;PE;R VIGÁRIO JOAQUIM PINTO 570;CE - LIMOEIRO
DA35;Atendimento;PE;AV SEVERINO PINHEIRO 26;GC - LIMOEIRO
DA39;Atendimento;PE;RUA JOÃO BATISTA 153;GC - SURUBIM
X029;Atendimento;PE;R DAS FRONTEIRAS 83, 2 ANDAR;CE - NTH - HOSP. MEMORIAL
X014;Atendimento;PE;AV AGAMENON MAGALHÃES 382;CE -CARPINA
X050;Atendimento;PE;ROD BR 423 KM 2000 S/N, LT A;CE - CL - UPA GARANHUNS
DA06;Atendimento;PE;RUA FELICIANO GOMES 342;GC - CENTRAL 
DA27;Atendimento;PE;R FELICIANO GOMES 252;GC - UNID. MATRIZ
DA28;Atendimento;PE;RUA FELICIANO GOMES 252;GC - MATRIZ - ADM
DA48;Atendimento;PE;AV PRESIDENTE KENNEDY 1717;GC - PEIXINHOS
X053;Atendimento;PE;R MARIA ADELAIDE VIEIRA 88;ADM - MATRIZ CERPE
X016;Atendimento;PE;R SIMÃO MENDES 165;CE - JAQUEIRA
X049;Atendimento;PE;R REAL DA TORRE 778;CE - TORRE
DA21;Atendimento;PE;RUA CONSELHEIRO PERETTI 63;GC - CASA AMARELA
DA36;Atendimento;PE;AV BEBERIBE 3836;GC - BEBERIBE
X006;Atendimento;PE;R DA HORA 122;CE - ESPINHEIRO
X007;Atendimento;PE;AV DEZESSETE DE AGOSTO 941;CE - CASA FORTE
X025;Atendimento;PE;AV BEBERIBE 1217;CE - BEBERIBE
DA10;Atendimento;PE;AV JOAO DE BARROS 200;GC - JOÃO DE BARROS
X033;Atendimento;PE;EST DA FAZENDINHA S/N;CE - CL - MIGUEL ARRAES
X059;Atendimento;PE;RUA MARIA ADELAIDE VIEIRA 88;CE- PEIXINHOS 
X061;Atendimento;PE;AVENIDA VISCONDE DE ALBUQUERQU;CE- PRIME
DA15;Atendimento;PE;RUA FRANCISCO ALVES 887;GC - HOSP. HOPE
DA19;Atendimento;PE;RUA SENADOR JOSÉ HENRIQUE 141;GC - HOSP. ALBERT SABIN
X018;Atendimento;PE;AV DR BELMIRO CORREIA 1025;CE - CAMARAGIBE
X023;Atendimento;PE;AV DR FRANCISCO CORREIA 174;CE - SÃO LOURENÇO
DA14;Atendimento;PE;ESTRADA DE ALDEIA 8715;GC - ALDEIA
DA17;Atendimento;PE;AV CAXANGA 1113;GC - CAXANGÁ
DA25;Atendimento;PE;RUA DOS LIRIOS 8;GC - CAMARAGIBE
X008;Atendimento;PE;AV CAXANGÁ 1953;CE - CAXANGA
X031;Atendimento;PE;R DA BAIXA VERDE 241;CE - DERBY
X005;Atendimento;PE;AV AGAMENON MAGALHÃES 4386;CE - AGAMENON
DA41;Atendimento;PE;AV DR CLAUDIO JOSÉ GUEIROS LEI;GC - JANGA
X010;Atendimento;PE;AV GETULIO VARGAS 1619;CE - OLINDA 1
X043;Atendimento;PE;R DOM BOSCO 961;CE - STª JOANA
X058;Atendimento;PE;AV CEL. FREDERICO LUNDGREN 4;CE - RIO DOCE
DA30;Atendimento;PE;RUA DR JOSÉ AUGUSTO MOREIRA 70;GC - CASA CAIADA
X011;Atendimento;PE;AV GOV.CARLOS DE L.CAVALCANTE;CE - OLINDA 2
X021;Atendimento;PE;AV DR R CLAUDIO J. G. LEITE 17;CE - JANGA
X037;Atendimento;PE;RUA DOS COELHOS 300;HOSP IMIP
