Material;Texto breve de material;Centro;Depósito;Tipo de movimento;Estoque especial;Doc.material;Item doc.material;Data de lançamento;Qtd.  UM registro;UM registro;Centro custo;Montante em MI;Pedido;Lote;Nome do usuário
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D386;ALMX;101;;4904045833;24;21/05/2020;1;KIT;;0,00;5500000029;42063301;F49464620153
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4904047593;22;21/05/2020;-2;PAC;P01177D386;-25,43;;MIC2019066;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4904047593;23;21/05/2020;-3;PAC;P01177D386;-38,14;;MIC2019262;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4904031493;1;20/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4904031571;1;20/05/2020;-0,110;KIT;;-3,37;;40790200;SVC_JOBS
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D386;ALMX;201;;4904019658;22;20/05/2020;-1;KIT;P01031D386;-60,93;;42063301;F63632721149
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D969;;101;;4904019274;2;20/05/2020;1;KIT;P01034D969;0,00;5300155523;42063301;F11026272408
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4904020169;10;20/05/2020;-5;PAC;P01177D386;-63,56;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903988974;6;19/05/2020;2;KIT;;0,00;5500000029;40790200;F06330755159
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4904003792;1;19/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4904003863;1;19/05/2020;-0,634;KIT;;-19,40;;40790200;SVC_JOBS
10000156;LAM KCELL SEDIM URI C/100 CRAL;D386;ALMX;201;;4903992689;1;19/05/2020;-1;CX;P01110D386;-175,00;;;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903978939;1;18/05/2020;-0,455;KIT;;-13,92;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903970477;18;18/05/2020;-4;PAC;P01179D386;-50,85;;MIC2019066;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;101;;4903970786;30;18/05/2020;14;PAC;;0,00;5500000029;MIC2019262;F06330755159
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903958247;1;17/05/2020;-0,031;KIT;;-0,95;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903938480;1;16/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903938551;1;16/05/2020;-0,545;KIT;;-16,68;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903914686;1;15/05/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903914695;1;15/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903914763;1;15/05/2020;-0,708;KIT;;-21,66;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903903429;1;15/05/2020;-3;PAC;P01177D386;-38,14;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903887393;1;14/05/2020;-0,731;KIT;;-22,37;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903887315;1;14/05/2020;-0,008;KIT;;-0,24;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903875665;1;14/05/2020;-3;PAC;P01177D386;-38,14;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903859125;1;13/05/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903859137;1;13/05/2020;-0,008;KIT;;-0,24;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903859210;1;13/05/2020;-0,841;KIT;;-25,73;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903847979;1;13/05/2020;-3;PAC;P01177D386;-38,14;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903832330;1;12/05/2020;-0,724;KIT;;-22,15;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903818271;6;12/05/2020;3;KIT;;0,00;5500000029;40790200;F06330755159
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903821545;1;12/05/2020;-3;PAC;P01177D386;-38,14;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903807870;1;11/05/2020;-0,305;KIT;;-9,33;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903807797;1;11/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903807789;1;11/05/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903797951;1;11/05/2020;-2;PAC;P01177D386;-25,42;;MIC2019066;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;101;;4903797842;42;11/05/2020;10;PAC;;0,00;5500000029;MIC2019262;F49464620153
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;101;;4903797842;39;11/05/2020;15;PAC;;0,00;5500000029;MIC2019066;F49464620153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903777207;1;10/05/2020;-0,517;KIT;;-15,82;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903777138;1;10/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903777135;1;10/05/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903761321;1;09/05/2020;-5;PAC;P01177D386;-63,55;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903744994;1;08/05/2020;-0,678;KIT;;-20,74;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903744919;1;08/05/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903729431;1;08/05/2020;-1;PAC;P01177D386;-12,71;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903700976;6;07/05/2020;2;KIT;;0,00;5500000029;40790200;F49464620153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903713964;1;07/05/2020;-0,008;KIT;;-0,24;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903714029;1;07/05/2020;-0,345;KIT;;-10,55;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903743067;1;07/05/2020;-0,011;KIT;;-0,34;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;101;;4903701210;45;07/05/2020;4;PAC;;0,00;5500000029;MIC2019066;F06330755159
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903703338;1;07/05/2020;-3;PAC;P01177D386;-38,13;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903687250;1;06/05/2020;-0,841;KIT;;-25,73;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903676313;1;06/05/2020;-6;PAC;P01177D386;-76,25;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903660976;1;05/05/2020;-0,013;KIT;;-0,40;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903661066;1;05/05/2020;-0,818;KIT;;-25,02;;40790200;SVC_JOBS
