Material;Centro;Tipo de avaliação;Texto breve de material;Última modificação;Tipo de material;Grupo de mercadorias;Unid.medida básica;Grupo de compradores;Código ABC;Tipo de MRP;Classe de avaliação;Controle de preço;Preço;Moeda;Unidade preço;Criado por;Centro Origem
10000104;D050;;SOL PROCELL 2X2L E170 ROCHE;15/05/2020;ZROH;AC;KIT;070;B;PD;3000;V;35,42;BRL;1;C31880814803;D050
10000105;D050;;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;13/05/2020;ZROH;AC;KIT;070;B;PD;3000;V;30,59;BRL;1;C29407541878;D491
10000111;D050;;MEIO CULT RPMI 1640 500ML INVITROGEN;13/05/2020;ZROH;AC;FR;056;C;ZM;3020;V;106,02;BRL;1;C29407541878;D043
10000117;D050;;DISCO NITROFURANTOINA C/50 300MCG;05/05/2020;ZROH;AC;FR;056;C;ND;3000;V;7,50;BRL;1;C29407541878;X002
10000123;D050;;RGT VIDAS B.R.A.H.M.S. BMX;19/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;1.880,00;BRL;1;C29407541878;D119
10000124;D050;;DISCO OXACILINA C/50 1MCG;20/05/2020;ZROH;AC;FR;056;C;ZM;3000;V;8,19;BRL;1;C29407541878;D044
10000137;D050;;PASTILHAS CT3 NOVA ANALITICA;04/05/2020;ZROH;AC;UN;056;C;PD;3020;V;326,25;BRL;1;C29407541878;D050
10000144;D050;;ELETRODO POT ISE AVL 9180 ROCHE;29/04/2020;ZROH;AC;UN;070;C;ZM;3000;V;1.309,51;BRL;1;C29407541878;P024
10000146;D050;;RGT DSP VIRUS/PATHOG MINI QIASYM QIAGEN;15/05/2020;ZROH;AC;KIT;056;A;ZM;3000;V;1.053,01;BRL;1;C29407541878;D093
10000148;D050;;ELETRODO REF ISE AVL 9180 ROCHE;30/04/2020;ZROH;AC;UN;070;C;ZM;3000;V;1.476,06;BRL;1;C29407541878;P024
10000151;D050;;ELETRODO SOD ISE AVL 9180 ROCHE;20/04/2020;ZROH;AC;UN;070;C;ZM;3000;V;1.408,33;BRL;1;C29407541878;D445
10000153;D050;;ELETRODO HOUSING ISE AVL 9180 ROCHE;20/04/2020;ZROH;AC;UN;070;C;ZM;3020;V;1.415,65;BRL;1;C29407541878;P024
10000154;D050;;ELETRODO LITIO AVL 9180 ROCHE;07/05/2020;ZROH;AC;KIT;070;C;ZM;3020;V;895,86;BRL;1;C29407541878;D043
10000156;D050;;LAM KCELL SEDIM URI C/100 CRAL;20/05/2020;ZROH;AC;CX;056;A;PD;3020;V;182,72;BRL;1;C29407541878;D050
10000158;D050;;CTR ANTI-HCV PC ELEC 3ML ROCHE;20/05/2020;ZROH;AC;KIT;070;C;PD;3000;V;60,93;BRL;1;C29407541878;D480
10000160;D050;;FITA IMPRESS SP1000 ROCHE;06/05/2020;ZROH;AC;UN;070;C;ZM;3000;V;428,28;BRL;1;C29407541878;D479
10000176;D050;;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;14/05/2020;ZROH;AC;KIT;056;A;PD;3000;V;761,55;BRL;1;C29407541878;D093
10000178;D050;;AGUL PETITE P/MAMOT 9X12CM;15/05/2020;ZROH;RDI;UN;056;B;PD;3020;V;968,00;BRL;1;C29407541878;D043
10000181;D050;;AGUL STAND P/MAMOT ABERT 20MM 9X12CM;15/05/2020;ZROH;RDI;UN;056;A;PD;3020;V;934,92;BRL;1;C29407541878;D115
10000183;D050;;AGUL STAND P/MAMOT ABERT 20MM 12X12CM;15/05/2020;ZROH;RDI;UN;056;B;PD;3020;V;930,55;BRL;1;C29407541878;D043
10000185;D050;;BALDE P/MAMOT;15/05/2020;ZROH;RDI;UN;056;C;PD;3020;V;27,41;BRL;1;C29407541878;D043
10000189;D050;;GUIA AGUL P/MAMOT 9G;15/05/2020;ZROH;RDI;UN;056;C;PD;3000;V;16,50;BRL;1;C29407541878;D115
10000192;D050;;GUIA AGUL P/MAMOT 12G;15/05/2020;ZROH;RDI;UN;056;C;PD;3000;V;16,50;BRL;1;C29407541878;D223
10000194;D050;;MARCAD BIOP P/AGUL MAMOT 9G TRIMARK;15/05/2020;ZROH;RDI;UN;056;B;PD;3020;V;231,00;BRL;1;C29407541878;D115
10000196;D050;;MARCAD BIOP P/AGUL MAMOT 12G TRIMARK;15/05/2020;ZROH;RDI;UN;056;C;PD;3020;V;231,00;BRL;1;C29407541878;D044
10000205;D050;;AGAR SABOURAUD 4% 13X100 P. LABOR;14/05/2020;ZROH;AC;PAC;056;C;PD;3000;V;12,71;BRL;1;C29407541878;D043
10000211;D050;;GARROTE TORNIQUETE ADUL;15/05/2020;ZROH;MAT MED;UN;056;C;VV;3020;V;0,56;BRL;1;C29407541878;P023
10000218;D050;;DISCO PENICILINA C/50 10MCG;20/05/2020;ZROH;AC;FR;056;C;ND;3000;V;7,46;BRL;1;C29407541878;X002
10000219;D050;;AGAR MYCOSEL 13X100 P. LABOR;08/05/2020;ZROH;AC;PAC;056;B;PD;3000;V;13,14;BRL;1;C29407541878;D489
10000223;D050;;COL URINA C/TP AM ESTL CRAL;13/05/2020;ZROH;MAT MED;UN;056;A;VV;3020;V;0,44;BRL;1;C29407541878;D269
10000227;D050;;VACINA HPV QUADRIVALENTE MSD;12/05/2020;ZROH;VACINAS;AM;056;C;ND;3000;V;0,00;BRL;1;C29407541878;D097
10000232;D050;;CTR LIATEST IV N P T 12X1ML STAGO;20/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;431,21;BRL;1;C29407541878;D648
10000234;D050;;RGT PONT QIASYM 1500UL QIAGEN;18/05/2020;ZROH;AC;KIT;056;A;ZM;3000;V;280,68;BRL;1;C29407541878;D043
10000238;D050;;ANTICORP ID ANTID CONF D FRAC 1X5 DIAMED;24/04/2020;ZROH;AC;KIT;056;C;ZM;3000;V;83,79;BRL;1;C29407541878;D489
10000240;D050;;PONT FILTER TIPS QIASYM 200UL QIAGEN;15/05/2020;ZROH;AC;KIT;056;B;ZM;3000;V;290,66;BRL;1;C29407541878;D474
10000241;D050;;RGT SAMPLE PREP CART 8WEL QIASYM QIAGEN;04/05/2020;ZROH;AC;CX;056;B;ZM;3000;V;290,66;BRL;1;C29407541878;D474
10000243;D050;;RGT 8 ROD COVERS QIASYM QIAGEN;04/05/2020;ZROH;AC;KIT;056;B;ZM;3000;V;300,91;BRL;1;C29407541878;D043
10000252;D050;;SOL KIT NORPRENO P/SLIDEINK HEMOGRAM;22/04/2020;ZROH;AC;KIT;056;C;ND;3020;V;0,00;BRL;1;C29407541878;D043
10000254;D050;;PONT FILT MOD EP TIPS PCR 50UL EPPENDORF;19/05/2020;ZROH;AC;CX;056;C;ZM;3000;V;930,50;BRL;1;C29407541878;D474
10000255;D050;;TB VAC S/ADITIVO PREMIUM 6ML GBO;20/05/2020;ZROH;MAT MED;UN;056;C;VV;3020;V;0,33;BRL;1;C29407541878;P001
10000261;D050;;FR PLAST ROSC LACRE C/TP 150ML;21/05/2020;ZROH;MAT MED;UN;056;C;ZM;3020;V;2,74;BRL;1;C29407541878;D295
